City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
388,bukama,-9.2,25.85,22.910000000000025,80,100,1.08,CD,1697233841
389,amga,60.8953,131.9608,-3.8999999999999773,81,76,2.68,RU,1697233841
390,mermoz boabab,14.7065,-17.4758,25.310000000000002,94,40,7.2,SN,1697233841
391,zilair,52.2332,57.4392,3.840000000000032,93,100,5.92,RU,1697233842
392,mahdia,35.5047,11.0622,21.970000000000027,67,0,0.88,TN,1697233842
393,homer,59.6425,-151.5483,5.939999999999998,79,75,2.57,US,1697233842
394,el calafate,-50.3408,-72.2768,8.140000000000043,74,9,5.18,AR,1697233842
395,restrepo,3.822,-76.5224,27.189999999999998,88,94,2.57,CO,1697233843
396,la ligua,-32.4524,-71.2311,17.650000000000034,59,100,1.9,CL,1697233843
397,cadale,2.7603,46.3222,26.200000000000045,87,13,3.73,SO,1697233843
398,chos malal,-37.3781,-70.2709,20.04000000000002,17,100,4.92,AR,1697233843
399,korba,22.35,82.6833,22.010000000000048,64,0,2.03,IN,1697233844
400,arys,42.4252,68.795,6.78000000000003,70,7,2.79,KZ,1697233844
401,cole harbour,44.6724,-63.4751,8.660000000000025,92,42,1.34,CA,1697233844
402,megion,61.0296,76.1136,4.010000000000048,91,100,6.72,RU,1697233742
403,vila franca do campo,37.7167,-25.4333,22.710000000000036,99,100,9.81,PT,1697233844
404,fukuecho,32.6881,128.8419,21.560000000000002,59,100,4.95,JP,1697233845
405,talnakh,69.4865,88.3972,-0.4399999999999977,96,97,2.83,RU,1697233845
406,selcuk,37.9514,27.3685,22.230000000000018,63,0,0.99,TR,1697233845
407,yeppoon,-23.1333,150.7333,20.879999999999995,61,0,1.08,AU,1697233776
408,nizhnesortymskiy,62.4397,71.7603,4.32000000000005,97,100,6.91,RU,1697233734
409,greymouth,-42.4667,171.2,12.100000000000023,85,90,11.92,NZ,1697233658
410,greenville,35.6127,-77.3663,25.090000000000032,53,0,2.06,US,1697233286
411,kyabe,9.4515,18.9449,25.910000000000025,63,29,0.69,TD,1697233846
412,newnham,-41.3833,147.1333,13.25,76,40,10.29,AU,1697233847
413,guerrero negro,27.9769,-114.0611,23.170000000000016,55,3,5.71,MX,1697233847
414,kuta,-8.7233,115.1723,25.970000000000027,88,40,2.68,ID,1697233847
415,edson,53.5835,-116.4356,7.060000000000002,93,100,3.6,CA,1697233593
416,winnemucca,40.973,-117.7357,18.03000000000003,25,0,2.57,US,1697233848
417,farsan,32.2569,50.561,11.020000000000039,44,13,2.57,IR,1697233848
418,mount gambier,-37.8333,140.7667,12.460000000000036,80,100,5.48,AU,1697233671
419,nishinoomote,30.7333,131.0,21.760000000000048,87,100,5.85,JP,1697233848
420,orchard homes,46.8633,-114.0484,18.80000000000001,47,0,0.89,US,1697233577
421,calama,-22.4667,-68.9333,26.27000000000004,6,0,10.8,CL,1697233616
422,san ignacio de velasco,-16.3667,-60.95,28.879999999999995,43,48,1.45,BO,1697233849
423,abepura,-2.6333,140.5833,26.450000000000045,78,20,1.03,ID,1697233849
424,papao,-17.75,-149.55,29.82000000000005,74,9,6.94,PF,1697233849
425,nyurba,63.2842,118.3319,-3.269999999999982,51,100,1.79,RU,1697233849
426,hastings,50.8552,0.5729,11.07000000000005,48,89,9.85,GB,1697233850
427,dongfeng,42.6403,125.5118,9.520000000000039,83,72,1.38,CN,1697233850
428,ar ruways,24.1103,52.7306,30.120000000000005,57,0,2.53,AE,1697233850
429,kavali,14.9167,79.9833,26.710000000000036,79,87,1.41,IN,1697233850
430,coalcoman de vazquez pallares,18.7833,-103.15,24.28000000000003,86,40,0.76,MX,1697233851
431,flin flon,54.7682,-101.865,10.910000000000025,66,75,1.54,CA,1697233737
432,tucuma,-0.1833,-50.05,27.600000000000023,73,58,4.3,BR,1697233851
433,sao tome,0.3365,6.7273,25.99000000000001,85,99,0.46,ST,1697233851
434,puerto armuelles,8.2833,-82.8667,29.99000000000001,74,96,2.24,PA,1697233851
435,sur,22.5667,59.5289,27.879999999999995,72,0,3.65,OM,1697233852
436,luanda,-8.8368,13.2343,25.0,78,75,4.12,AO,1697233852
437,city of balikpapan,-1.242,116.8942,27.970000000000027,83,40,0.0,ID,1697233852
438,ierapetra,35.01,25.7353,20.640000000000043,69,7,1.79,GR,1697233852
439,oyama,36.3,139.8,15.879999999999995,54,44,0.81,JP,1697233853
440,pemba,-12.974,40.5178,25.390000000000043,65,0,4.12,MZ,1697233853
441,genhe,50.7833,121.5167,3.9700000000000273,82,30,1.68,CN,1697233853
442,arauquita,7.0292,-71.4281,29.260000000000048,71,99,0.78,CO,1697233853
443,bardai,11.65,7.2333,26.930000000000007,31,95,3.06,NG,1697233854
444,rumuruti,0.267,36.5389,17.700000000000045,71,98,5.45,KE,1697233854
445,bubaque,11.2833,-15.8333,28.220000000000027,72,100,2.69,GW,1697233854
446,banda aceh,5.5577,95.3222,26.100000000000023,82,99,2.55,ID,1697233742
447,talcahuano,-36.7167,-73.1167,15.82000000000005,63,0,7.72,CL,1697233740
448,puerto baquerizo moreno,-0.9,-89.6,27.55000000000001,69,75,4.63,EC,1697233855
449,shakawe,-18.3667,21.85,27.760000000000048,37,99,4.07,BW,1697233855
450,nar'yan-mar,67.6713,53.087,1.170000000000016,76,100,4.02,RU,1697233747
451,gallup,35.5281,-108.7426,17.910000000000025,13,0,3.09,US,1697233855
452,juan griego,11.0817,-63.9655,33.07000000000005,58,74,6.69,VE,1697233856
453,tangalle,6.024,80.7911,24.090000000000032,89,100,0.99,LK,1697233856
454,howard springs,-12.497,131.047,25.950000000000045,74,16,1.39,AU,1697233856
455,cassia,-20.5831,-46.9219,24.910000000000025,71,92,1.17,BR,1697233856
456,sambava,-14.2667,50.1667,23.400000000000034,94,72,0.35,MG,1697233857
457,toliara,-23.35,43.6667,23.100000000000023,90,86,2.17,MG,1697233857
458,pakhtakoron,40.1571,68.7466,7.080000000000041,68,0,2.56,TJ,1697233857
459,yaren,-0.5472,166.916,29.310000000000002,69,13,3.74,NR,1697233857
460,zhangye,38.9342,100.4517,9.879999999999995,39,0,2.62,CN,1697233857
461,limulunga,-15.0969,23.1376,22.25,55,31,1.12,ZM,1697233858
462,puerto yuca,2.9383,-73.2083,25.960000000000036,89,98,0.93,CO,1697233858
463,yigo village,13.5361,144.8886,26.620000000000005,90,20,2.57,GU,1697233858
464,rovinj,45.08,13.64,17.900000000000034,88,30,4.1,HR,1697233858
465,kaohsiung,22.6163,120.3133,25.58000000000004,91,40,1.54,TW,1697233859
466,laguna,38.421,-121.4238,27.950000000000045,34,0,3.09,US,1697233859
467,ghormach,35.7306,63.7826,7.650000000000034,37,0,2.92,AF,1697233859
468,parun,35.4207,70.9221,5.670000000000016,86,68,0.68,AF,1697233859
